"id","name","party","state","vote.1369","vote.1370","vote.1378","vote.1380","vote.1381","vote.1382","vote.1383","vote.1384","vote.1385","vote.1386","vote.1388","vote.1391","vote.1392","vote.1393","vote.1398","vote.1399","vote.1400","vote.1401","vote.1402","vote.1403","vote.1404","vote.1405","vote.1406","vote.1407","vote.1409","vote.1413","vote.1414","vote.1415","vote.1416","vote.1417","vote.1418","vote.1420","vote.1421","vote.1422","vote.1423","vote.1424","vote.1426","vote.1427","vote.1429","vote.1431","vote.1432","vote.1478","vote.1479","vote.1480","vote.1483","vote.1484","vote.1485","vote.1486","vote.1487","vote.1488","vote.1489","vote.1490","vote.1491","vote.1493","vote.1494","vote.1496","vote.1503","vote.1509","vote.1513","vote.1517","vote.1518","vote.1526","vote.1527","vote.1528","vote.1529","vote.1530","vote.1532","vote.1533","vote.1534","vote.1535","vote.1538","vote.1540","vote.1541","vote.1544","vote.1545","vote.1548","vote.1551","vote.1552","vote.1572","vote.1573","vote.1574","vote.1575","vote.1576","vote.1577","vote.1578","vote.1579","vote.1580","vote.1581","vote.1583","vote.1584","vote.1589"
440,"ABELARDO LUPION","PFL","PR",4,4,1,2,4,2,1,1,1,4,1,1,1,1,2,1,4,2,2,2,2,2,4,2,2,2,1,2,2,4,1,1,1,1,1,5,4,4,1,2,1,1,1,1,4,1,1,1,1,4,1,2,1,2,5,2,4,5,1,1,2,1,1,4,4,4,4,4,1,1,1,2,1,4,4,1,2,4,1,1,1,2,1,1,1,4,4,4,4,4,4
486,"ADAO PRETTO","PT","RS",4,4,1,1,1,4,4,1,4,3,2,2,2,2,1,1,3,1,1,1,1,4,4,1,1,1,1,1,1,4,4,4,2,4,2,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,2,2,1,2,2,4,4,4,4,1,4,1,4,4,4,4,4,4,1,1,4,4,1,4,2,2,1,2,2,2,1,2,4,1,1,1,1,1,1,2,1
127,"ADAUTO PEREIRA","PFL","PB",4,4,1,2,2,2,1,1,1,4,1,1,1,1,2,1,4,2,2,2,2,2,4,2,2,4,4,4,4,4,4,4,4,4,1,4,4,4,1,2,1,4,4,1,4,1,1,1,1,2,1,2,1,2,5,2,1,4,1,4,4,1,1,1,2,2,2,1,1,1,1,2,1,4,3,4,2,4,1,1,1,4,4,4,1,3,2,1,1,4,1
88,"ADOLFO MARINHO","PSDB","CE",1,2,1,2,2,2,1,1,1,5,1,1,1,1,2,1,4,2,4,4,2,2,2,4,4,2,1,4,4,1,4,1,1,1,1,4,4,1,4,2,1,1,1,1,4,1,4,1,1,2,1,2,4,2,5,2,1,5,1,1,4,1,1,1,4,2,2,1,1,1,4,2,1,1,5,4,2,4,4,4,1,2,1,1,1,4,2,1,1,1,1
221,"AECIO NEVES","PSDB","MG",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
441,"AFFONSO CAMARGO","PFL","PR",1,4,1,2,1,2,1,1,1,5,1,1,1,2,2,1,5,2,2,2,2,2,2,2,4,2,1,2,2,1,1,1,1,1,2,4,1,1,1,2,1,1,1,1,4,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"AFFONSO CAMARGO","PSDB","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,5,2,1,5,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,4,1,2,4,1,1,1,2,1,1,1,4,2,1,1,1,1
44,"AGNALDO MUNIZ","PPS","RO",4,4,1,1,1,3,2,1,2,5,2,2,2,2,1,4,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,1,4,4,4,4,1,1,1,1,4,2,2,1,2,4,1,2,4,1,4,4,4,2,2,4,4,4,2,1,1,4,2,4,1,2,4,1,2,2,2,1,2,1,1,1,4,1,1,2,4,1
407,"AGNELO QUEIROZ","PCdoB","DF",1,2,1,1,1,1,2,1,2,2,4,4,4,4,1,1,5,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,2,1,2,4,1,1,2,2,1,1,1,1,4,1,1,4,1,2,2,2,1,2,4,4,4,4,1,1,1,1,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,2,2,1,2,2,2,2,4,4,4,4,4,4
2,"AIRTON CASCAVEL","PPS","RR",1,2,4,1,1,4,2,1,2,4,2,2,2,2,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,4,1,1,2,2,1,1,1,4,4,1,1,4,1,2,4,4,4,4,4,1,2,4,4,1,2,4,4,1,4,2,2,1,1,1,2,2,4,1,2,2,1,2,2,2,1,2,1,1,1,4,1,1,1,1,1
