"id","name","party","state","vote.100000295","vote.100000296","vote.100000297","vote.100000298","vote.100000299","vote.100000300","vote.100000301","vote.100000302","vote.100000303","vote.100000304","vote.100000305","vote.100000306","vote.100000307","vote.100000308","vote.100000309","vote.100000310","vote.100000311","vote.100000312","vote.100000313","vote.100000314","vote.100000315","vote.100000316","vote.100000317","vote.100000318","vote.100000319","vote.100000320","vote.100000321","vote.100000643","vote.100000644","vote.100000645","vote.100000646","vote.100000647","vote.100000648","vote.100000649","vote.100000650","vote.100000651","vote.100000652","vote.100000653","vote.100000654","vote.100000655","vote.100000656","vote.100000657","vote.100000658","vote.100000659","vote.100000660","vote.100000661","vote.100000662","vote.100000663","vote.100000664","vote.100000665","vote.100000666","vote.100000667","vote.100000668","vote.100000669","vote.100000670","vote.100000671","vote.100000672","vote.100000673","vote.100000674","vote.100000675","vote.100000676","vote.100000677","vote.100000678","vote.100000679","vote.100000680","vote.100000681","vote.100000682","vote.100000683","vote.100000685","vote.100000686","vote.100000687","vote.100000688","vote.100000689","vote.100000746","vote.100000764"
475,"ADAO PRETTO","PT","RS",2,2,1,1,1,1,2,2,3,2,2,2,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,1,NA,1,2,2,2,1,NA,NA,NA,2,2,2,NA,1,NA,NA,1,1,2,1,1,NA,NA,2,2,2,1,2,2,2,2,1,2,1,NA,2,1,2,2,1,2,NA,2,NA,NA,1,2
126,"ADAUTO PEREIRA","PFL","PB",2,2,1,1,1,1,2,2,2,2,2,2,1,NA,1,2,1,NA,2,1,1,1,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,NA,2,NA,1,2,NA,NA
51,"ADELAIDE NERI","PMDB","AC",2,NA,NA,1,1,1,2,2,2,2,2,2,NA,1,NA,1,NA,1,NA,NA,1,1,2,1,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA
584,"ADILSON MALUF","PMDB","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,1,NA,NA,NA,2,1,NA,1,1,1,NA,NA,3,2,3,3,3,3,NA,1,NA,1,NA,NA,2,1,1,2,1,NA,1,1,1
477,"ADROALDO STRECK","PSDB","RS",2,2,1,1,1,1,2,2,2,NA,2,2,1,1,1,2,1,1,NA,1,1,1,NA,2,1,1,1,1,1,1,2,2,2,NA,2,NA,NA,2,2,2,2,1,NA,1,NA,NA,2,2,1,NA,1,1,1,1,1,1,1,2,2,2,NA,1,NA,1,2,2,2,2,NA,1,1,NA,2,1,1
478,"ADYLSON MOTTA","PPR","RS",2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,NA,1,2,1,1,1,1,NA,NA,NA,NA,NA,1,1,3,2,1,1,NA,2,1,3,3,3,3,2,NA,2,NA,2,2,2,1,2,3,1,2,2,2,1,1,2,2,1,1,1,1,3,1,1,2,1,1
86,"AECIO DE BORBA","PPR","CE",NA,2,NA,NA,2,2,2,1,NA,NA,2,2,2,1,1,2,NA,1,NA,NA,2,2,2,1,NA,NA,1,NA,1,2,NA,NA,NA,1,NA,NA,1,2,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,2,1,2,1,NA,2,1,1
219,"AECIO NEVES","PSDB","MG",2,2,1,NA,1,1,2,2,2,2,2,2,NA,NA,1,NA,1,3,1,1,1,1,2,1,1,1,1,NA,1,1,1,NA,2,NA,2,NA,NA,NA,1,NA,NA,1,1,1,1,1,2,2,NA,NA,NA,1,1,1,3,1,1,NA,2,2,NA,1,NA,1,NA,NA,NA,NA,1,1,NA,NA,2,NA,NA
220,"AGOSTINHO VALENTE","PT","MG",2,2,1,1,1,1,2,2,2,2,2,2,1,NA,2,1,NA,1,1,1,1,1,1,1,1,2,NA,NA,NA,1,2,2,2,1,2,1,1,2,2,NA,NA,1,2,NA,1,1,2,1,1,2,1,2,2,NA,NA,2,2,NA,2,1,2,1,1,2,1,2,2,1,2,NA,NA,1,2,1,2
552,"AIRTON SANDOVAL","PMDB","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,1,2,1,1,2,1,1,2,1,NA,1,NA,NA,2,2,NA,1,1,1,NA,1,1,1,1,1,2,2,1,1,NA,1,2,2,1,1,1,2,1,NA,NA,1,NA
