"id","name","party","state","vote.100000190","vote.100000191","vote.100000198","vote.100000199","vote.100000200","vote.100000201","vote.100000202","vote.100000203","vote.100000204","vote.100000205","vote.100000206","vote.100000207","vote.100000208","vote.100000209","vote.100000210","vote.100000211","vote.100000212","vote.100000213","vote.100000214","vote.100000215","vote.100000216","vote.100000217","vote.100000218","vote.100000219","vote.100000220","vote.100000221","vote.100000222","vote.100000223","vote.100000224","vote.100000225","vote.100000226","vote.100000227","vote.100000228","vote.100000229","vote.100000230","vote.100000231","vote.100000232","vote.100000233","vote.100000234","vote.100000235","vote.100000236","vote.100000237","vote.100000238","vote.100000239","vote.100000240","vote.100000241","vote.100000242","vote.100000243","vote.100000244","vote.100000245","vote.100000246","vote.100000247","vote.100000248","vote.100000249","vote.100000250","vote.100000251","vote.100000252","vote.100000253","vote.100000254","vote.100000255","vote.100000256","vote.100000257","vote.100000258","vote.100000259","vote.100000260","vote.100000261","vote.100000262","vote.100000263","vote.100000264","vote.100000265","vote.100000266","vote.100000267","vote.100000268","vote.100000269","vote.100000270","vote.100000271","vote.100000272","vote.100000707","vote.100000753","vote.100000754","vote.100000755","vote.100000756","vote.100000757","vote.100000758","vote.100000759","vote.100000760","vote.100000761","vote.141","vote.161","vote.181","vote.184","vote.203","vote.205","vote.225","vote.285","vote.385","vote.405","vote.425","vote.446","vote.465","vote.546","vote.586"
440,"ABELARDO LUPION","PFL","PR",2,2,2,2,2,2,2,2,2,1,2,2,2,2,NA,2,1,2,2,2,1,NA,NA,NA,2,NA,NA,NA,1,2,2,1,NA,NA,1,1,1,1,1,2,1,2,NA,1,NA,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,1,2,2,1,1,1,NA,2,2,1,2,2,2,1,2,NA,NA,1,2,2,2,1,2,1,1,1,2,1,4,2,1,1,2,1,1,4
486,"ADAO PRETTO","PT","RS",2,1,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,1,2,1,1,1,2,1,1,1,1,NA,1,1,2,2,1,2,1,2,2,2,1,2,NA,2,2,1,NA,2,1,2,2,2,2,2,NA,2,2,2,NA,1,2,1,NA,1,NA,2,1,2,2,2,2,1,1,2,2,2,1,1,NA,NA,1,NA,1,2,2,1,1,2,1,1,1,2,2,2,1,4,1,2,1,1,1,1,4,2,2,4
127,"ADAUTO PEREIRA","PFL","PB",NA,NA,2,2,2,2,2,NA,2,1,2,2,2,NA,2,2,1,2,NA,NA,1,2,2,2,2,1,2,2,1,2,2,1,NA,NA,1,1,1,1,1,1,1,2,1,1,2,1,3,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,1,2,2,1,NA,1,2,2,NA,NA,2,NA,2,1,2,2,2,1,2,2,2,1,2,1,1,1,4,4,1,2,1,4,2,1,4,4
173,"ADELSON RIBEIRO","PSDB","SE",2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,2,1,1,2,1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,NA,2,2,1,1,2,1,1,1,4,4,1,2,1,1,2,1,1,4
273,"ADELSON SALVADOR","PMDB","ES",3,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,3,2,2,1,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,2,1,2,2,1,1,3,NA,1,1,1,3,2,1,2,3,1,1,2,1,1,1,2,2,2,1,3,2,1,1,1,1,4,1,2,2,4
593,"ADEMIR CUNHA","PFL","PE",2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,NA,2,1,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,"ADEMIR LUCAS","PSDB","MG",2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,5
329,"ADHEMAR DE BARROS FILHO","PPB","SP",NA,NA,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,NA,NA,1,2,1,2,2,2,NA,2,NA,2,2,2,2,1,NA,2,1,NA,2,2,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,2,2,1,NA,NA,NA,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,2,4,1,4,2,1,1,2,1,1,2,1,2,5
520,"ADROALDO STRECK","PSDB","RS",2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,1,2,NA,1,1,1,1,1,1,1,2,1,1,2,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,2,1,1,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,1,4,1,1,2,1,1,2,1,1,4
487,"ADYLSON MOTTA","PPB","RS",3,1,2,1,2,1,1,1,1,1,1,NA,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,3,2,2,2,2,1,2,1,2,1,2,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,2,2,1,1,3,2,1,1,1,1,2,2,2,1
