"id","name","party","state","vote.587","vote.588","vote.589","vote.590","vote.591","vote.592","vote.597","vote.598","vote.599","vote.605","vote.606","vote.608","vote.609","vote.610","vote.611","vote.618","vote.619","vote.620","vote.621","vote.622","vote.623","vote.624","vote.625"
440,"ABELARDO LUPION","PFL","PR",2,2,1,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
486,"ADAO PRETTO","PT","RS",1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
127,"ADAUTO PEREIRA","PFL","PB",2,2,1,1,1,1,1,4,4,1,1,1,1,1,2,1,2,4,4,4,4,4,4
173,"ADELSON RIBEIRO","PSDB","SE",2,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
273,"ADELSON SALVADOR","PMDB","ES",1,2,4,1,1,1,2,1,2,1,2,2,2,4,1,2,1,1,2,2,1,1,2
593,"ADEMIR CUNHA","PFL","PE",NA,NA,NA,NA,NA,NA,4,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1
220,"ADEMIR LUCAS","PSDB","MG",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,4,1
329,"ADHEMAR DE BARROS FILHO","PPB","SP",4,2,1,1,4,4,1,4,4,1,1,4,4,1,4,4,4,4,4,4,4,4,4
520,"ADROALDO STRECK","PSDB","RS",2,4,4,4,4,4,4,2,1,1,4,1,1,1,4,1,2,2,1,1,2,2,1
487,"ADYLSON MOTTA","PPB","RS",2,2,2,2,2,1,2,1,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,"AECIO NEVES","PSDB","MG",4,4,4,4,4,4,1,2,1,1,4,1,1,1,2,4,2,2,1,1,2,2,1
441,"AFFONSO CAMARGO","PFL","PR",2,2,1,4,4,4,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
407,"AGNELO QUEIROZ","PCdoB","DF",1,1,2,4,4,1,2,1,2,1,2,2,4,2,1,4,4,4,4,4,4,4,4
488,"AIRTON DIPP","PDT","RS",1,1,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
164,"ALBERICO CORDEIRO","PTB","AL",1,2,4,1,1,4,4,4,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4
330,"ALBERTO GOLDMAN","PSDB","SP",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,4,2,2,1
109,"ALBERTO SILVA","PMDB","PI",4,4,4,4,4,4,1,4,4,1,4,1,1,4,4,4,4,4,4,4,4,4,4
1,"ALCESTE ALMEIDA","PMDB","RR",2,2,1,4,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
181,"ALCIDES MODESTO","PT","BA",1,5,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
538,"ALCIONE ATHAYDE","PPB","RJ",4,4,4,4,4,4,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
283,"ALDIR CABRAL","PFL","RJ",2,4,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,4,1,2,2,1
415,"ALDO ARANTES","PCdoB","GO",1,1,2,1,1,1,4,4,4,1,2,2,2,2,4,4,4,4,4,4,4,4,4
331,"ALDO REBELO","PCdoB","SP",1,1,2,1,1,1,2,4,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
284,"ALEXANDRE CARDOSO","PSB","RJ",4,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,"ALEXANDRE SANTOS","PSDB","RJ",2,2,4,1,1,1,1,4,4,4,1,1,1,1,2,1,2,2,4,4,4,2,1
332,"ALMINO AFFONSO","PSB","SP",2,1,2,1,1,1,2,2,2,1,4,2,2,2,4,4,4,4,4,4,4,4,4
333,"ALOYSIO NUNES FERREIRA","PSDB","SP",2,2,4,4,4,4,1,2,1,1,1,1,1,4,4,1,2,2,1,1,2,2,1
128,"ALVARO GAUDENCIO NETO","PFL","PB",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,4,2,4,1,1,2,2,1
286,"ALVARO VALLE","PL","RJ",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
36,"ALZIRA EWERTON","PSDB","AM",4,4,4,4,4,4,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
622,"ANA CATARINA","PMDB","RN",4,4,4,4,4,4,4,3,1,1,4,1,1,4,4,4,4,4,4,4,4,4,4
87,"ANIBAL GOMES","PSDB","CE",2,2,1,1,4,1,4,2,1,1,1,1,1,1,2,1,4,2,1,4,4,4,4
19,"ANIVALDO VALE","PSDB","PA",4,2,1,4,1,1,1,2,1,4,1,1,1,1,2,1,2,2,1,1,2,2,1
88,"ANTONIO BALHMANN","PPS","CE",4,4,2,4,1,4,2,1,2,4,2,1,1,2,4,4,4,4,4,4,4,4,4
20,"ANTONIO BRASIL","PMDB","PA",4,1,2,1,1,1,2,1,2,1,2,2,4,2,2,2,1,1,2,2,4,4,4
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,4,1
222,"ANTONIO DO VALLE","PMDB","MG",2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
89,"ANTONIO DOS SANTOS","PFL","CE",4,4,4,4,4,4,1,2,1,4,1,1,1,1,4,4,4,4,4,4,4,4,4
633,"ANTONIO FALEIROS","PSDB","GO",2,2,1,1,1,1,4,4,4,1,1,1,1,1,4,1,2,2,1,1,2,2,1
9,"ANTONIO FEIJAO","PSDB","AP",4,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
631,"ANTONIO FERREIRA","PMDB","AL",2,2,1,1,1,4,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
139,"ANTONIO GERALDO","PFL","PE",4,2,1,1,1,1,4,2,1,1,4,1,1,1,2,1,2,2,1,1,2,2,1
399,"ANTONIO JOAQUIM","PSDB","MT",4,2,1,1,4,4,1,2,1,1,1,1,1,1,2,4,2,4,4,4,4,4,4
68,"ANTONIO JOAQUIM ARAUJO","PL","MA",2,4,1,1,1,4,1,2,1,1,1,1,1,1,2,1,2,2,1,1,4,4,1
60,"ANTONIO JORGE","PFL","TO",2,2,1,1,1,1,1,2,1,1,1,1,1,1,4,1,2,4,1,1,2,2,1
335,"ANTONIO KANDIR","PSDB","SP",2,2,1,1,1,1,1,2,1,1,4,1,1,1,2,1,2,2,1,4,2,2,1
442,"ANTONIO UENO","PFL","PR",2,2,1,4,1,1,1,2,1,1,1,1,1,1,4,1,4,2,1,1,2,2,1
223,"ARACELY DE PAULA","PFL","MG",2,2,1,4,4,1,1,2,1,1,1,1,1,1,2,1,2,2,1,4,4,4,4
110,"ARI MAGALHAES","PPB","PI",1,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
551,"ARIOSTO HOLANDA","PSDB","CE",2,2,1,1,4,1,4,2,1,2,1,1,1,1,2,1,2,2,1,1,2,2,1
336,"ARLINDO CHINAGLIA","PT","SP",1,4,2,1,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
590,"ARLINDO VARGAS","PTB","RS",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,4,1
129,"ARMANDO ABILIO","PMDB","PB",2,2,4,1,4,1,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
224,"ARMANDO COSTA","PMDB","MG",4,4,4,4,4,2,2,2,2,1,4,2,2,4,4,2,1,4,4,4,1,1,2
337,"ARNALDO FARIA DE SA","PPB","SP",1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,2,2,1,1,2
517,"ARNALDO MADEIRA","PSDB","SP",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
90,"ARNON BEZERRA","PSDB","CE",4,2,1,1,1,1,4,2,1,1,1,1,1,1,2,4,2,4,1,1,2,2,1
288,"AROLDE DE OLIVEIRA","PFL","RJ",2,2,1,4,4,1,1,4,4,1,4,1,1,1,4,1,2,2,1,1,2,2,1
183,"AROLDO CEDRAZ","PFL","BA",4,2,1,4,1,1,1,2,1,1,4,1,1,1,4,1,2,2,1,1,2,4,1
37,"ARTHUR VIRGILIO","PSDB","AM",2,2,4,1,1,1,1,2,1,1,4,1,1,1,2,1,2,2,1,1,2,2,1
338,"ARY KARA","PPB","SP",4,4,4,4,4,4,1,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,1
595,"ASDRUBAL BENTES","PMDB","PA",2,2,4,4,1,1,1,2,1,4,4,1,1,1,2,1,2,2,1,1,2,2,1
38,"ATILA LINS","PFL","AM",4,4,4,4,4,4,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
408,"AUGUSTO CARVALHO","PPS","DF",4,4,4,4,4,4,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,4
165,"AUGUSTO FARIAS","PFL","AL",4,4,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,1,2
489,"AUGUSTO NARDES","PPB","RS",2,2,1,2,1,1,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
119,"AUGUSTO VIVEIROS","PFL","RN",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
339,"AYRES DA CUNHA","PFL","SP",2,2,4,1,1,4,1,2,1,2,1,1,1,1,4,4,4,4,4,4,4,4,4
548,"AYRTON XEREZ","PSDB","RJ",2,2,1,1,1,1,1,2,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4
111,"B  SA","PSDB","PI",2,4,1,1,1,4,4,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4
416,"BARBOSA NETO","PMDB","GO",4,4,4,4,4,4,1,2,1,4,4,1,1,4,4,4,2,4,4,4,2,2,1
443,"BASILIO VILLANI","PSDB","PR",2,2,1,2,2,1,1,2,1,1,1,1,1,1,4,1,2,2,1,1,2,2,1
166,"BENEDITO DE LIRA","PFL","AL",2,4,1,1,1,1,1,4,1,1,1,1,1,1,2,1,4,2,1,1,1,2,1
21,"BENEDITO GUIMARAES","PPB","PA",2,2,1,1,1,1,1,2,1,4,1,1,1,1,2,1,2,2,1,1,2,2,1
120,"BETINHO ROSADO","PFL","RN",2,2,4,1,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
225,"BONIFACIO DE ANDRADA","PSDB","MG",2,2,1,1,1,1,1,2,1,1,4,1,1,1,2,1,2,4,1,1,2,2,1
174,"BOSCO FRANCA",NA,"SE",4,4,4,4,4,4,1,4,4,1,4,1,1,4,4,1,2,2,1,1,2,2,1
289,"CANDINHO MATTOS","PSDB","RJ",2,2,1,4,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1
52,"CARLOS AIRTON","PPB","AC",2,2,1,1,1,1,1,4,1,1,1,1,1,1,2,1,4,2,1,1,2,2,1
597,"CARLOS ALBERTO CAMPISTA","PFL","RJ",4,2,1,1,1,4,1,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
