"id","name","party","state","vote.2026","vote.2027","vote.2028","vote.2029","vote.2030","vote.2031","vote.2032","vote.2033","vote.2034","vote.2035","vote.2036","vote.2037","vote.2038","vote.2039","vote.2065","vote.2161","vote.2162","vote.2164","vote.2165","vote.2166","vote.2167","vote.2168","vote.2169","vote.2170","vote.2171","vote.2172","vote.2173","vote.2174","vote.2176","vote.2177","vote.2178","vote.2179","vote.2181","vote.2182","vote.2183","vote.2184","vote.2185","vote.2186","vote.2187","vote.2188","vote.2189","vote.2190","vote.2191","vote.2192","vote.2193","vote.2194","vote.2195","vote.2196","vote.2197","vote.2198","vote.2199","vote.2201","vote.2202","vote.2203","vote.2204","vote.2205","vote.2206","vote.2207","vote.2208","vote.2209","vote.2248","vote.2249","vote.2250","vote.2251","vote.2252","vote.2263","vote.2264","vote.2265","vote.2266","vote.2267","vote.2268","vote.2270","vote.2271","vote.2272","vote.2273","vote.2274","vote.2275","vote.2276","vote.2277","vote.2278","vote.2280","vote.2282","vote.2283","vote.2284","vote.2285","vote.2286","vote.2287","vote.2288","vote.2289","vote.2290","vote.2291","vote.2293","vote.2294","vote.2295","vote.2296","vote.2297","vote.2298","vote.2299","vote.2301"
440,"ABELARDO LUPION","PFL","PR",4,5,5,4,4,4,4,4,4,4,5,4,4,1,4,4,4,5,4,4,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,2,2,1,1,4,1,2,1,5,5,4,5,1,1,5,4,1,5,2,5,4,5,5,1,1,1,2,2,1,2,5,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,4,5,2,4,5,4,4,4,5,4,4,4,4,1,1,2,2,1
486,"ADAO PRETTO","PT","RS",1,2,2,4,2,2,4,1,2,1,2,4,2,2,4,4,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,4,4,3,4,1,1,4,4,4,1,4,4,4,4,2,3,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,2,2,2,4,4,2,4,2,2,4,4,4,4,4,4,2,2,1,2,1,2,2,2,2,2,2,2,4,1,2,1,3,4
471,"ADELOR VIEIRA","PMDB","SC",1,1,2,5,2,4,1,4,2,1,2,2,2,2,4,2,1,1,2,2,1,2,4,2,4,2,3,4,1,2,1,4,2,4,4,2,4,1,1,2,1,1,1,2,2,4,2,1,1,2,2,1,4,4,4,2,1,2,2,1,2,1,1,1,1,2,5,5,4,2,2,2,2,4,3,3,3,5,4,5,2,4,2,4,4,1,4,2,2,4,2,1,5,1,4,1,1,4,2
441,"AFFONSO CAMARGO","PSDB","PR",2,1,1,4,1,1,2,2,1,4,1,4,4,4,5,4,4,4,4,5,4,4,4,4,5,5,4,5,4,5,4,5,2,4,1,2,1,1,1,1,2,2,1,4,1,4,5,1,1,4,1,1,4,5,5,4,4,4,1,1,1,2,2,1,1,4,4,4,4,2,4,4,4,4,4,4,4,5,5,4,5,4,5,2,5,5,5,5,2,5,4,5,5,1,2,4,4,2,2
44,"AGNALDO MUNIZ","PPS","RO",4,1,2,4,2,2,1,1,2,1,2,2,4,4,4,4,4,4,2,4,1,2,4,2,2,2,4,4,1,4,4,4,1,4,1,4,4,4,4,2,1,1,1,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,1,2,5,5,4,4,4,2,2,4,5,1,4,4,4,4,4,2,2,2,4,1,4,2,4,4,4
556,"AIRTON ROVEDA","PMDB","PR",1,1,2,3,2,2,1,4,2,1,2,4,2,2,1,4,1,1,4,2,1,2,2,2,2,2,2,1,1,4,1,2,4,1,4,1,1,1,1,2,1,1,1,4,2,4,2,2,2,4,2,4,2,2,2,2,1,2,4,1,2,1,1,1,1,2,4,5,4,4,4,2,4,2,2,2,2,2,2,2,2,4,2,2,2,1,2,2,1,2,2,4,4,1,1,1,1,4,4
408,"ALBERTO FRAGA","PTB","DF",1,1,1,1,2,1,1,4,2,1,2,2,4,1,4,2,1,1,2,2,4,2,2,2,2,4,4,4,4,4,4,2,2,4,1,2,2,1,1,2,1,2,1,2,2,4,2,1,1,2,2,1,4,4,4,4,1,1,1,1,4,2,2,2,2,2,4,5,5,2,1,1,2,1,1,1,1,4,4,5,2,4,2,2,2,2,1,4,2,2,2,4,4,1,1,1,1,2,1
330,"ALBERTO GOLDMAN","PSDB","SP",5,4,1,5,5,4,4,4,4,4,5,4,4,1,5,4,5,4,5,4,4,5,4,5,4,4,5,4,4,5,4,5,2,4,4,2,1,1,1,1,1,2,1,4,4,4,5,1,1,5,1,1,4,5,5,4,4,5,4,1,1,3,3,1,1,5,4,4,1,4,2,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,4,4,1,2,1,2,4,2
1,"ALCESTE ALMEIDA","PMDB","RR",1,1,4,4,4,2,4,1,2,1,2,2,2,2,4,2,1,1,2,2,1,4,1,2,2,2,4,1,1,4,4,2,1,4,1,4,1,1,1,4,4,4,1,1,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,1,1,1,1,2,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
487,"ALCEU COLLARES","PDT","RS",1,1,1,4,1,2,4,1,2,1,2,4,4,2,4,4,1,4,4,4,4,2,2,2,4,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,1,2,1,4,2,4,2,1,1,2,2,4,2,4,4,4,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,4,4,4,2,2,4,2,4,4,4,4,2,4,4,4,2,4,4,2,2,4,2,4,4,2,1,4,4
331,"ALDO REBELO","PCdoB","SP",1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,"ALEX CANZIANI","PTB","PR",1,4,2,4,4,2,4,4,4,4,4,2,2,2,1,2,1,4,2,4,5,4,4,4,4,4,4,1,3,4,2,2,4,4,1,1,1,1,1,4,4,4,1,4,2,4,4,2,2,4,2,2,4,5,2,2,1,4,4,1,4,4,1,1,1,2,4,5,4,4,2,2,2,2,4,2,4,4,4,4,2,4,4,4,2,1,2,2,2,2,4,5,4,4,4,1,1,4,1
284,"ALEXANDRE CARDOSO","PSB","RJ",4,1,2,4,4,2,4,1,2,4,2,4,2,2,4,2,1,4,2,4,4,4,4,2,4,4,2,1,1,2,1,4,1,4,1,1,1,2,2,2,1,1,2,1,2,4,2,2,2,4,4,2,4,4,2,2,4,2,2,4,4,4,1,4,1,2,2,4,2,4,4,2,4,2,2,4,4,2,4,2,2,2,2,1,4,1,4,2,1,4,2,4,2,4,4,2,4,4,2
285,"ALEXANDRE SANTOS","PP","RJ",1,1,2,4,4,2,1,4,4,1,4,2,4,4,1,4,4,3,4,4,3,4,4,4,4,4,2,4,4,2,4,2,4,1,1,1,4,1,4,2,1,1,1,4,2,4,2,2,2,2,2,2,4,4,2,2,1,4,4,1,2,1,4,1,1,4,4,4,4,4,4,2,2,4,4,2,3,4,4,4,4,4,4,4,2,4,4,2,1,2,2,4,4,1,1,1,1,4,4
180,"ALICE PORTUGAL","PCdoB","BA",1,1,4,4,2,2,1,1,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,4,2,4,2,1,1,1,1,1,1,1,2,1,2,1,1,2,4,2,4,4,4,2,4,4,2,2,2,1,2,4,1,2,1,1,1,1,2,2,2,4,2,2,4,4,4,4,4,4,2,2,2,2,2,2,4,4,1,2,4,4,2,2,2,4,4,4,4,4,4,2
