"id","name","party","state","vote.2312","vote.2338","vote.2339","vote.2346","vote.2347","vote.2348","vote.2349","vote.2350","vote.2351","vote.2356","vote.2360","vote.2361","vote.2362","vote.2365","vote.2366","vote.2370","vote.2371","vote.2373","vote.2374","vote.2375","vote.2380","vote.2381","vote.2383","vote.2387","vote.2389","vote.2391","vote.2392","vote.2393","vote.2394","vote.2396","vote.2400","vote.2401","vote.2403","vote.2406","vote.2408","vote.2409","vote.2413","vote.2422","vote.2424","vote.2425","vote.2429","vote.2430","vote.2432","vote.2434","vote.2435","vote.2436","vote.2437","vote.2439","vote.2441","vote.2442","vote.2445","vote.2452","vote.2458","vote.2459","vote.2460","vote.2463","vote.2467","vote.2468","vote.2470","vote.2471","vote.2473","vote.2474","vote.2475","vote.2476","vote.2478","vote.2479"
440,"ABELARDO LUPION","PFL","PR",4,4,4,5,2,4,2,2,2,2,5,1,2,4,4,4,5,4,4,4,2,4,4,4,4,5,4,4,4,2,1,4,2,4,1,4,1,2,4,1,4,5,5,4,1,5,5,4,5,5,5,5,5,1,4,4,1,5,1,4,4,1,1,4,4,1
486,"ADAO PRETTO","PT","RS",1,4,4,4,1,1,4,4,1,4,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,4,2,2,4,4,4,4,4,1,2,4,4,4,2,4,4,2,4,2,2,2,4,4,2,2,1,2,4,2,4,1,1,1,1,1,1,4,2,4,4
471,"ADELOR VIEIRA","PMDB","SC",1,2,5,5,1,4,2,4,1,5,2,1,2,2,2,4,2,2,2,2,1,4,1,2,2,2,5,2,2,1,2,1,4,2,1,1,4,1,1,2,1,2,2,4,4,5,2,2,2,2,2,1,2,2,2,1,1,1,1,1,4,1,1,2,1,2
576,"ADEMIR CAMILO","PDT","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,5,2,4,4,4,2,4,2,4,2,2,1,2,2,1,1,1,1,4,4,4,4,4,2,1,4
576,"ADEMIR CAMILO","PL","MG",1,5,5,5,1,1,1,5,1,4,2,2,2,2,4,2,2,2,2,2,1,2,1,2,4,4,2,2,2,2,4,4,4,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,"AFFONSO CAMARGO","PSDB","PR",2,1,2,4,2,2,2,2,2,2,5,1,2,2,5,5,4,4,4,5,2,1,5,5,4,4,4,4,4,4,4,4,2,2,1,1,2,2,2,2,1,2,1,4,1,5,5,5,4,1,1,4,1,2,2,4,1,5,1,1,4,1,1,1,1,1
605,"AFONSO HAMM","PP","RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,4,2,2,4,2,5,2,2,5,2,2,1,2,2,2,4,1,4,1,4,4,4,4,1,1,2
44,"AGNALDO MUNIZ","PP","RO",1,4,4,4,1,1,1,4,1,4,4,2,4,4,4,4,2,2,4,4,1,4,1,2,2,2,4,4,2,1,4,4,4,2,4,1,1,4,1,4,1,4,4,4,2,4,4,4,4,4,4,1,2,2,1,4,4,4,1,4,1,1,4,4,1,2
556,"AIRTON ROVEDA","PPS","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,2,1,1,1,1,1,4,1,1,1,1,2,1,2
556,"AIRTON ROVEDA","PTB","PR",1,4,4,4,4,4,1,5,1,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,2,4,2,4,4,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,"ALBERICO FILHO","PMDB","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,1,2,1,2,2,4,4,5,2,2,4,2,2,1,2,4,2,1,4,1,1,1,4,1,1,2,4,4
408,"ALBERTO FRAGA","PFL","DF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,4,2,4,1,4,4,5,4,4,4,5,5,4,5,5,5,5,1,2,4,4,5,4,4,4,4,4,1,1,1
408,"ALBERTO FRAGA","PTB","DF",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"ALBERTO FRAGA",NA,"DF",NA,4,1,4,4,4,2,2,2,2,1,1,2,1,1,1,1,1,1,4,2,1,4,4,4,1,1,4,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,"ALBERTO GOLDMAN","PSDB","SP",2,4,2,5,2,2,2,2,2,2,5,1,2,2,4,4,5,4,4,4,4,4,4,4,4,5,5,5,5,1,1,1,2,2,1,1,2,2,2,1,4,1,1,5,1,5,4,4,4,5,4,5,5,2,1,2,1,4,1,4,2,1,1,4,1,4
1,"ALCESTE ALMEIDA","PMDB","RR",NA,4,4,4,3,3,2,4,1,1,3,4,2,2,4,2,2,2,2,2,1,4,1,2,2,2,4,4,1,2,1,2,2,1,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"ALCESTE ALMEIDA","PTB","RR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,2,2,2,4,2,4,2,4,2,2,1,2,2,2,1,4,4,1,4,1,1,1,2,1,1
1,"ALCESTE ALMEIDA",NA,"RR",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"ALCEU COLLARES","PDT","RS",2,4,4,4,1,1,2,2,2,4,4,1,4,2,4,4,5,4,1,5,4,4,4,4,4,4,4,4,5,4,1,1,2,4,4,1,2,4,1,1,4,2,1,4,4,4,4,4,4,4,4,2,4,4,2,4,4,1,4,4,1,1,1,1,4,2
588,"ALDIR CABRAL","PFL","RJ",2,4,2,4,2,2,2,4,2,4,4,1,2,2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,2,1,2,4,2,1,1,1,2,2,1,4,1,5,4,1,4,4,5,5,5,5,4,5,1,2,4,1,5,1,1,4,1,1,1,1,2
331,"ALDO REBELO","PCdoB","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
445,"ALEX CANZIANI","PTB","PR",4,4,4,4,4,4,2,4,1,5,4,4,2,2,4,2,4,2,2,4,1,2,1,2,2,2,4,4,2,1,2,4,2,4,4,4,2,4,1,2,1,4,2,4,2,4,2,4,2,4,2,1,2,4,4,4,1,4,4,4,4,1,1,4,1,4
284,"ALEXANDRE CARDOSO","PSB","RJ",1,4,4,4,1,1,1,4,4,4,2,2,2,4,4,2,2,4,4,4,1,2,1,2,4,2,4,4,4,1,4,4,4,2,1,1,2,4,4,4,4,4,2,4,4,4,2,2,4,4,4,4,4,2,1,1,1,1,1,4,1,1,1,4,4,4
600,"ALEXANDRE MAIA","PMDB","MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,4,1,1,2,4,2,2,4,2,5,2,2,4,2,2,1,4,2,1,4,1,1,1,1,4,1,1,2,4,4
285,"ALEXANDRE SANTOS","PMDB","RJ",1,4,4,4,2,4,2,4,2,4,2,1,1,4,2,4,3,3,4,4,4,4,3,2,4,3,4,4,2,4,4,1,4,1,1,4,4,4,1,4,4,2,2,4,4,5,4,5,4,4,4,4,4,4,4,1,4,4,1,4,4,1,1,4,1,2
180,"ALICE PORTUGAL","PCdoB","BA",1,4,4,5,1,1,2,2,2,4,2,2,2,4,4,4,4,4,4,2,1,2,1,2,2,2,2,2,2,4,4,4,2,2,1,1,2,4,1,2,4,2,2,2,2,2,2,4,2,2,2,1,2,2,2,1,1,1,4,1,1,1,1,4,4,4
89,"ALMEIDA DE JESUS","PL","CE",1,4,4,4,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,2,1,2,1,2,2,2,4,2,2,2,2,1,2,2,1,1,4,4,4,2,4,2,2,2,4,2,2,4,4,2,2,1,2,2,1,1,4,4,4,4,4,4,4,4,4,4
286,"ALMERINDA DE CARVALHO","PMDB","RJ",1,1,4,4,1,1,2,4,4,4,2,1,1,4,4,2,2,2,2,2,2,1,2,2,1,5,5,5,1,1,2,1,2,2,1,1,2,1,1,2,1,2,2,4,2,4,1,4,5,2,2,5,2,4,2,1,1,4,4,1,1,1,1,2,1,2
283,"ALMIR MOURA","PFL","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,4,4,4,4,4,5,5,5,5,1,2,3,1,4,1,1,1,1,4,2,1,2
283,"ALMIR MOURA","PMDB","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,3,4,4,2,2,2,4,4,4,3,2,3,3,4,1,1,2,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,"ALMIR MOURA",NA,"RJ",1,3,4,5,1,1,1,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,"ALMIR SA","PL","RR",1,5,4,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,1,5,2,4,4,2,2,4,2,1,2,2,4,4,4,4,4,4,2,2,1,2,2,1,4,1,4,4,4,1,1,1,2,1,2
119,"ALVARO DIAS","PDT","RN",4,4,5,4,4,4,4,2,4,4,4,4,4,5,4,4,5,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,1,2,1,4,3,4,4,4,5,4,4,4,4,4,5,4,2,4,1,4,4,4,1,1,1,4,1,2
329,"AMAURI GASQUES","PL","SP",4,4,4,4,1,1,1,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,2,2,2,5,2,1,1,2,4,4,2,1,2,2,2,1,5,2,2,5,2,2,1,2,2,2,4,4,4,1,1,4,1,1,2,1,2
587,"ANA ALENCAR","PL","TO",NA,NA,NA,NA,1,1,4,4,4,4,2,2,2,4,2,4,4,4,4,4,1,2,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,"ANA ALENCAR","PSDB","TO",NA,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,"ANA GUERRA","PT","MG",4,2,4,4,1,1,1,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,1,4,2,4,2,2,2,1,2,1,4,2,1,1,4,1,1,4,4,2,2,4,2,2,2,2,4,2,2,1,2,4,2,1,1,1,4,1,1,1,1,2,2,2
571,"ANDRE COSTA","PDT","RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,4,4,4,1,5,5,5,4,5,5,5,4,1,2,4,1,1,4,1,1,4,1,4,4,4
571,"ANDRE COSTA","PT","RJ",1,4,4,4,4,4,4,4,4,1,4,2,2,2,4,4,4,4,4,2,1,2,1,2,2,2,4,4,2,1,4,1,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,"ANDRE COSTA",NA,"RJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"ANDRE DE PAULA","PFL","PE",2,4,2,4,2,2,2,2,2,2,4,1,4,4,5,4,5,4,4,5,5,4,4,5,4,5,4,5,5,1,1,1,4,2,2,1,1,2,2,1,4,5,5,4,4,5,4,4,4,4,4,4,5,1,2,2,1,5,4,4,4,4,4,1,4,4
586,"ANDRE FIGUEIREDO","PDT","CE",2,2,2,5,1,1,2,2,2,4,2,1,3,4,5,1,4,5,5,5,2,5,5,5,5,5,5,5,5,1,2,1,2,2,2,1,2,1,1,2,4,2,1,4,1,5,5,5,5,5,5,5,5,1,2,1,4,4,1,1,1,1,1,1,2,2
287,"ANDRE LUIZ",NA,"RJ",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,"ANDRE ZACHAROW","PMDB","PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,4,4,4,4,4,5,2,4,4,2,2,4,2,4,4,1,1,4,4,4,4,4,4,4,1,1
442,"ANDRE ZACHAROW","PSB","PR",1,2,5,4,1,4,1,4,1,4,2,2,2,4,2,4,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,4,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"ANGELA GUADAGNIN","PT","SP",1,4,4,4,1,1,4,4,4,4,2,1,4,2,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,1,2,1,4,2,1,1,4,1,1,2,4,2,2,4,2,2,2,2,4,2,2,1,2,4,4,1,4,1,1,1,1,1,1,2,1,2
87,"ANIBAL GOMES","PMDB","CE",1,2,4,4,4,1,4,4,2,4,2,1,2,2,4,4,4,2,4,2,1,2,4,4,4,4,4,4,2,1,4,4,2,4,1,4,2,4,1,2,3,4,4,4,4,4,2,2,5,4,4,1,4,2,2,4,1,1,4,4,1,1,4,2,1,4
19,"ANIVALDO VALE","PSDB","PA",2,4,4,4,2,2,2,2,2,4,5,1,3,2,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,4,1,1,2,2,2,4,1,4,1,4,1,4,5,4,5,5,5,2,5,2,1,2,1,4,4,1,2,1,1,1,1,1
18,"ANN PONTES","PMDB","PA",4,4,5,4,1,1,1,5,1,5,2,2,2,4,2,2,2,2,2,2,1,2,1,2,2,2,5,2,2,1,2,1,2,1,4,1,2,1,4,4,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4
47,"ANSELMO","PT","RO",4,4,4,4,1,1,1,4,1,3,2,2,4,4,4,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,1,4,4,1,1,2,1,1,2,4,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,4,1,1,1,1,1,2,1,2
583,"ANTENOR NASPOLINI","PSDB","CE",2,1,2,4,2,2,4,4,4,4,1,1,2,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,1,1,1,2,2,1,1,2,4,2,1,1,2,1,5,1,5,4,5,5,5,1,2,5,2,1,2,1,5,1,1,4,4,1,1,1,1
91,"ANTONIO CAMBRAIA","PSDB","CE",2,1,2,5,2,2,2,2,2,2,5,1,2,4,4,5,5,5,4,5,2,4,5,5,5,5,4,5,5,4,4,4,2,2,1,1,2,2,2,1,1,2,1,5,1,5,5,5,5,5,1,2,5,2,1,2,1,5,1,1,1,1,1,1,1,1
432,"ANTONIO CARLOS BIFFI","PT","MS",1,4,1,4,1,4,1,4,1,4,2,2,2,2,2,2,2,2,2,4,1,2,1,2,2,2,2,4,2,1,2,1,4,2,1,1,2,4,4,4,4,4,4,4,2,2,2,4,4,2,2,1,2,4,2,1,1,1,1,4,1,1,1,2,1,2
292,"ANTONIO CARLOS BISCAIA","PT","RJ",1,2,4,4,1,4,1,4,1,5,2,2,2,2,2,2,2,2,2,2,1,2,1,4,4,4,2,2,2,1,2,1,4,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2
181,"ANTONIO CARLOS MAGALHAES NETO","PFL","BA",2,1,2,5,2,2,2,2,2,2,5,1,2,2,5,5,5,5,4,5,2,5,4,4,4,5,5,5,5,1,1,1,2,2,1,1,1,2,2,1,1,5,1,4,1,5,4,4,4,5,5,4,5,1,2,2,1,5,1,4,1,1,1,1,1,1
332,"ANTONIO CARLOS MENDES THAME","PSDB","SP",2,1,2,5,4,4,2,2,4,2,5,1,4,2,4,4,5,5,5,5,2,5,5,5,4,5,5,5,5,1,2,1,2,2,1,1,1,4,2,1,1,2,1,4,4,4,5,5,4,5,5,5,5,1,1,4,4,4,4,1,2,1,4,1,1,4
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",2,1,2,1,4,4,2,4,2,2,5,4,4,4,4,5,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,2,2,1,4,4,4,4,4,5,5,4,4,5,4,4,5,1,1,2,1,5,1,4,2,1,4,1,1,4
434,"ANTONIO CRUZ","PP","MS",NA,NA,5,4,1,1,4,4,2,4,2,1,4,2,2,2,2,2,4,2,1,2,1,2,2,2,2,2,2,2,4,4,4,2,4,1,2,2,1,2,4,2,4,4,4,1,3,4,4,2,2,4,2,2,1,4,4,5,4,1,1,1,1,2,1,2
434,"ANTONIO CRUZ","PTB","MS",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"ANTONIO JOAQUIM","PSDB","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,2,4,4,2,4,4,2,4,4,2,4,4,4,1,4,4,4,4,4,4,4,1,1
68,"ANTONIO JOAQUIM","PTB","MA",1,4,4,4,1,4,4,4,4,4,2,2,2,2,4,2,2,2,4,2,1,2,1,2,2,4,4,2,2,1,2,1,2,4,4,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,"ARACELY DE PAULA","PL","MG",1,4,4,4,1,1,1,5,4,5,2,2,2,4,4,2,4,4,4,2,1,2,1,2,2,2,2,2,2,1,4,4,5,4,1,1,4,4,4,4,1,2,2,4,1,5,2,2,4,2,2,1,2,4,4,1,1,5,1,1,1,1,1,2,1,4
92,"ARIOSTO HOLANDA","PSB","CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,1,1,2,1,2,2,2,2,2,2,2,4,2,2,1,2,2,2,1,1,1,4,1,1,1,1,2,1,2
92,"ARIOSTO HOLANDA","PSDB","CE",1,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,"ARIOSTO HOLANDA",NA,"CE",NA,NA,NA,NA,1,1,1,5,1,5,2,2,2,4,2,2,2,2,4,2,1,2,1,2,2,2,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"ARLINDO CHINAGLIA","PT","SP",1,4,4,4,1,1,1,4,4,4,2,2,2,2,2,2,2,2,2,2,1,2,4,2,2,2,2,2,2,1,4,1,4,2,1,4,2,1,1,2,2,2,4,2,2,2,2,2,2,2,2,1,2,4,2,4,1,4,1,1,4,1,1,2,2,2
144,"ARMANDO MONTEIRO","PTB","PE",1,4,4,4,4,1,1,4,4,4,2,2,2,2,4,2,4,4,4,4,1,4,1,2,4,2,4,2,4,4,2,1,4,4,4,4,4,4,1,4,4,4,4,4,4,2,4,4,4,4,4,1,4,4,1,4,1,4,4,4,1,1,1,4,4,4
337,"ARNALDO FARIA DE SA","PTB","SP",2,1,2,1,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,2,4,2,1,5,1,1,1,1,2,1,4,2,2,2,1,1,2,2,4,1,2,1,4,1,2,2,2,2,2,2,1,2,4,2,2,1,1,1,1,4,1,1,2,2,1
90,"ARNON BEZERRA","PTB","CE",4,4,4,4,4,1,4,4,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,4,2,1,1,4,4,1,2,1,4,4,4,4,4,2,4,4,4,2,1,2,4,4,4,1,4,1,1,1,1,1,2,1,1
183,"AROLDO CEDRAZ","PFL","BA",2,4,4,4,2,4,2,2,2,4,5,1,4,4,4,5,4,4,4,5,4,1,4,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,1,4,4,4,4,4,5,4,4,4,4,5,4,5,4,2,4,4,4,4,1,1,1,4,4,1,4
