"orig.vote","dates","session","bill"
100000295,1993-01-12,"CD07E001O","PL N. 3387/92 - EMENDA N. 9."
100000296,1993-01-12,"CD07E001O","PL N. 73/91 - SUBSTITUTIVO DO SENADO FEDERAL."
100000297,1993-01-12,"CD07E001O","PLC N. 73/91 - REQUERIMENTO DESTAQUE RELATOR.SSS"
100000298,1993-01-19,"CD07E006O","PLC N. 136/92 - EMENDA SENADO FEDERAL."
100000299,1993-01-20,"CD07E008O","PEC N. 48/91 - SUBSTITUTIVO."
100000300,1993-01-20,"CD07E008O","PEC N. 48/91 - DVS ART. 2 - SUBSTITUTIVO."
100000301,1993-01-20,"CD07E008O","PEC N. 48/91 - DESTAQUE 126 - RXPRESSAO."
100000302,1993-01-20,"CD07E008O","PEC N. 48/91 - DVS 134."
100000303,1993-01-20,"CD07E008O","PEC 48/91 - DESTAQUE 30 - ART. 153."
100000304,1993-01-20,"CD07E008O","PEC N. 48/91 - DEST. 107 - ART. 195."
100000305,1993-01-20,"CD07E008O","PEC 48/91 -. DEST. 91 - ART. 192."
100000306,1993-01-20,"CD07E008O","PEC N. 48\91 - DEST. 5 - ART. 92 , VIII."
100000307,1993-01-20,"CD07E008O","PEC N. 48/91 - DESTAQUE 169 - ARTIGO 9."
100000308,1993-01-21,"CD07E009E","PEC 48/91 - DESTAQUE 87 - ARTIGO 173 - PARAG. 2 E INCISOS."
100000309,1993-01-26,"CD07E013O","PL N. 965/91 - EMENDAS COM PARECER FAVORAVEL."
100000310,1993-01-27,"CD07E015O","PL 8/91 DVS. ART. 18, CAPUT E PARAG. 2."
100000311,1993-01-28,"CD07E016E","PEC 48/91 REQUERIMENTO DE PREFERENCIA"
100000312,1993-02-01,"CD07E019E","PL N. 3519/93 - EMENDA AGLUTINATIVA."
100000313,1993-02-02,"CD07E020E","PL N. 3497/93 - DVS ART. 15 SUBEMENDA."
100000314,1993-02-02,"CD07E020E","PEC 48/91 - DVS - EXPRESSAO - ARTIGO 50."
100000315,1993-02-02,"CD07E020E","PEC N. 48/91 - DVS. ARTIGO 2. - IPMF."
100000316,1993-02-02,"CD07E020E","PEC 48/91 - DVS ART. 2. - PARAG 2. - EXPRESSAO."
100000317,1993-02-02,"CD07E020E","PEC 48/91 - DESTAQUE EXPRESSAO - ART. 5 - CAPUT."
100000318,1993-02-02,"CD07E020E","PEC N. 48/91 - DVS ARTIGO 5."
100000319,1993-02-02,"CD07E020E","PEC 48 - DVS ART.159 PARAGRAFO 1o"
100000320,1993-02-02,"CD07E020E","PEC 48/91 - DVS ART. 173"
100000321,1993-02-02,"CD07E020E","PEC 48/91 ART. 102"
100000643,1993-03-02,"CD03O008O","PDL N. 44/84 - EMENDA DO SENADO"
100000644,1993-03-10,"CD03O015O","PL 824/91   REQUERIMENTO DE URGENCIA"
100000645,1993-03-23,"CD03O026O","PLC N. 32/88 - REQ. DE ADIAMENTO"
100000646,1993-03-23,"CD03O026O","PLC N. 32/88 - EMENDA CCJR"
100000647,1993-03-23,"CD03O026O","PLC N 32/88 PROJETO"
100000648,1993-03-24,"CD03O027O","PLC N 32/88 PROJETO"
100000649,1993-03-24,"CD03O027O","PLC N. 147/93 - PROJETO"
100000650,1993-03-31,"CD03O032E","PDL N. 141/91"
100000651,1993-03-31,"CD03O033E","VERIFICACAO PREVIA - LDB"
100000652,1993-04-01,"CD03O035O","PL N. 1258/88 - SUBEMENDA ART. 129"
100000653,1993-04-14,"CD03O042O","PLC N. 147/93 - EMENDA DO SENADO"
100000654,1993-04-28,"CD03O053O","PL 1491/91 DEST 204 ART 54"
100000655,1993-05-05,"CD03O058O","PL 1491/91 DVS 212 EXPRESSAO P. 3 ART. 54"
100000656,1993-05-05,"CD03O058O","PL N. 1491/91 - DEST. N. 165 - PARAGRAFO 2, ART. N. 41"
