"Nome Parlamentar","NomeSemAcento","Partido","UF","Condição","Inicio","Fim"
"ABELARDO LUPION                ","ABELARDO LUPION                ","PFL","PR","titular",2/1/1995,1/31/1999
"ADÃO PRETTO                    ","ADAO PRETTO                    ","PT","RS","titular",2/1/1995,1/31/1999
"ADAUTO PEREIRA                 ","ADAUTO PEREIRA                 ","PFL","PB","titular",2/1/1995,1/31/1999
"ADELAIDE NERI                  ","ADELAIDE NERI                  ","PMDB","AC","suplente",5/6/1997,8/6/1997
"ADELSON RIBEIRO                ","ADELSON RIBEIRO                ","PSDB","SE","titular",2/1/1995,1/31/1999
"ADELSON SALVADOR               ","ADELSON SALVADOR               ","PMDB","ES","titular",2/1/1995,1/31/1999
"ADEMIR CUNHA                   ","ADEMIR CUNHA                   ","PFL","PE","efetivado",2/17/1997,3/19/1998
"ADEMIR CUNHA                   ","ADEMIR CUNHA                   ","PFL","PE","efetivado",1/7/1999,1/31/1999
"ADEMIR LUCAS                   ","ADEMIR LUCAS                   ","PSDB","MG","titular",2/1/1995,2/2/1995
"ADEMIR LUCAS                   ","ADEMIR LUCAS                   ","PSDB","MG","titular",6/4/1996,1/31/1999
"ADHEMAR DE BARROS FILHO        ","ADHEMAR DE BARROS FILHO        ","PPB","SP","titular",2/1/1995,1/31/1999
"ADROALDO STRECK                ","ADROALDO STRECK                ","PSDB","RS","suplente",2/2/1995,1/31/1999
"ADYLSON MOTTA                  ","ADYLSON MOTTA                  ","PPB","RS","titular",2/1/1995,1/19/1999
"AÉCIO DE BORBA                 ","AECIO DE BORBA                 ","PPB","CE","suplente",7/16/1997,4/1/1998
"AÉCIO NEVES                    ","AECIO NEVES                    ","PSDB","MG","titular",2/1/1995,1/31/1999
"AFFONSO CAMARGO                ","AFFONSO CAMARGO                ","PFL","PR","titular",2/1/1995,1/31/1999
"AGNALDO TIMÓTEO                ","AGNALDO TIMOTEO                ","PPB","RJ","efetivado",5/3/1995,12/30/1996
"AGNELO QUEIROZ                 ","AGNELO QUEIROZ                 ","PC DO B","DF","titular",2/1/1995,1/31/1999
"AIRTON DIPP                    ","AIRTON DIPP                    ","PDT","RS","titular",2/1/1995,1/31/1999
"ALBÉRICO CORDEIRO              ","ALBERICO CORDEIRO              ","PTB","AL","titular",2/1/1995,1/31/1999
"ALBÉRICO FILHO                 ","ALBERICO FILHO                 ","PMDB","MA","suplente",3/6/1995,4/2/1998
"ALBERTO GOLDMAN                ","ALBERTO GOLDMAN                ","PSDB","SP","titular",2/1/1995,1/31/1999
"ALBERTO SILVA                  ","ALBERTO SILVA                  ","PMDB","PI","titular",2/1/1995,1/31/1999
"ALCESTE ALMEIDA                ","ALCESTE ALMEIDA                ","PMDB","RR","titular",2/1/1995,1/31/1999
"ALCIDES MODESTO                ","ALCIDES MODESTO                ","PT","BA","titular",2/1/1995,1/31/1999
"ALCIONE ATHAYDE                ","ALCIONE ATHAYDE                ","PPB","RJ","efetivado",3/6/1995,2/16/1997
"ALCIONE ATHAYDE                ","ALCIONE ATHAYDE                ","PPB","RJ","efetivado",2/20/1997,1/31/1999
"ALDIR CABRAL                   ","ALDIR CABRAL                   ","PFL","RJ","titular",2/1/1995,3/5/1995
"ALDIR CABRAL                   ","ALDIR CABRAL                   ","PFL","RJ","titular",11/28/1996,1/31/1999
"ALDO ARANTES                   ","ALDO ARANTES                   ","PC DO B","GO","titular",2/1/1995,1/31/1999
"ALDO REBELO                    ","ALDO REBELO                    ","PC DO B","SP","titular",2/1/1995,1/31/1999
"ALEXANDRE CARDOSO              ","ALEXANDRE CARDOSO              ","PSB","RJ","titular",2/1/1995,1/11/1999
"ALEXANDRE CERANTO              ","ALEXANDRE CERANTO              ","PFL","PR","suplente",2/3/1995,4/2/1996
